# {
#     "firstSweep": 0,
#     "group": "mygroup",
#     "histogram": {
#         "binCount": 20002,
#         "binWidth": 1,
#         "celltype_integer": true,
#         "celltype_signed": false,
#         "celltype_size": 4,
#         "hasUnderOverflows": true,
#         "high": 12552000,
#         "low": 12532000,
#         "overflows": 249998,
#         "underflows": 1757553
#     },
#     "id": 15335648068298161249,
#     "lastSweep": 0,
#     "name": "mass 88 400 revs",
#     "startChannel": 6,
#     "startEdge": 1,
#     "stopChannel": 1,
#     "stopEdge": 1,
#     "timeunit": "ns",
#     "type": "TimeHistogram",
#     "xlabel": "ToF [ns]",
#     "ylabel": "Counts"
# }
12532000	0
12532001	0
12532002	0
12532003	0
12532004	0
12532005	0
12532006	0
12532007	0
12532008	0
12532009	0
12532010	0
12532011	1
12532012	0
12532013	0
12532014	1
12532015	0
12532016	0
12532017	0
12532018	0
12532019	0
12532020	0
12532021	0
12532022	0
12532023	0
12532024	0
12532025	0
12532026	0
12532027	0
12532028	0
12532029	0
12532030	0
12532031	1
12532032	0
12532033	0
12532034	0
12532035	0
12532036	0
12532037	0
12532038	0
12532039	0
12532040	0
12532041	0
12532042	0
12532043	0
12532044	0
12532045	0
12532046	0
12532047	0
12532048	0
12532049	0
12532050	0
12532051	0
12532052	0
12532053	1
12532054	0
12532055	0
12532056	0
12532057	0
12532058	0
12532059	0
12532060	0
12532061	0
12532062	0
12532063	0
12532064	0
12532065	0
12532066	0
12532067	0
12532068	0
12532069	1
12532070	0
12532071	0
12532072	0
12532073	0
12532074	1
12532075	0
12532076	0
12532077	0
12532078	2
12532079	0
12532080	1
12532081	0
12532082	0
12532083	0
12532084	0
12532085	0
12532086	0
12532087	0
12532088	0
12532089	0
12532090	0
12532091	1
12532092	0
12532093	0
12532094	0
12532095	0
12532096	0
12532097	0
12532098	0
12532099	0
12532100	0
12532101	1
12532102	0
12532103	0
12532104	0
12532105	0
12532106	0
12532107	1
12532108	0
12532109	0
12532110	0
12532111	0
12532112	0
12532113	0
12532114	0
12532115	1
12532116	0
12532117	0
12532118	0
12532119	0
12532120	0
12532121	0
12532122	0
12532123	0
12532124	0
12532125	1
12532126	0
12532127	0
12532128	0
12532129	0
12532130	0
12532131	0
12532132	0
12532133	0
12532134	0
12532135	0
12532136	0
12532137	0
12532138	0
12532139	0
12532140	1
12532141	0
12532142	0
12532143	0
12532144	0
12532145	0
12532146	0
12532147	0
12532148	0
12532149	0
12532150	0
12532151	0
12532152	0
12532153	0
12532154	0
12532155	0
12532156	0
12532157	0
12532158	0
